amount,hour_of_day,day_of_week,transaction_type_encoded,is_international,account_age_days,avg_transaction_amount_30d,transaction_count_24h,distance_from_home,is_fraud
1263.9037354345437,5,3,3,0,1984,959.3537160130229,16,4513.702456024595,0
775.6129392180726,8,3,0,1,590,713.7601032143715,3,242.02469701715412,0
3607.341952317189,21,1,1,0,130,761.4040508870318,1,1194.711938990885,0
2122.486356782002,4,4,2,0,687,466.5097661973206,17,1378.457960910691,0
5488.161520064253,8,4,0,1,2952,633.8231413207919,8,7529.577035814177,1
23.13301694894774,19,6,0,0,1636,352.7178541733084,7,3340.503859116659,0
2702.411084501115,5,3,2,0,2657,186.90817046631355,16,763.7595504044082,0
1961.56328603109,20,4,3,0,2082,702.253560860156,12,4065.1027784931516,0
3409.822561597965,20,5,2,0,1491,427.7593997660861,19,1335.301488565681,0
98.33943523228567,12,5,3,0,3245,718.8426605433219,2,671.6179840838698,0
532.5434512025013,0,2,0,0,802,513.614558855759,2,883.7390436897568,0
3287.104071833984,1,5,1,0,2377,99.05256858004677,11,4054.8239824688053,0
4682.601482386953,16,2,0,0,827,989.9076242803231,22,1074.8324514225128,1
800.0349645120478,21,4,3,0,3330,585.6554795397578,4,1795.6927048330206,0
1593.114126467103,8,3,0,0,3272,414.58732813817477,20,3451.6625244851307,0
3665.3180169184316,10,4,0,0,3454,977.4025785369428,1,3455.2826916485324,0
4313.8836645696565,1,1,0,0,3543,159.10568024801387,1,2656.714069185348,0
4468.233401657773,22,6,3,1,2468,285.72836534576703,16,2556.0317030947417,0
8382.776377275713,9,1,2,0,22,744.9644692459366,5,5930.874210766894,1
4758.760689868235,4,5,3,0,524,65.01136199826402,13,1999.6290101293357,0
3902.5801376071045,21,4,0,1,5,587.8792210012552,14,7395.126499425283,1
4782.27161608129,23,6,0,0,2069,956.3078022458341,11,572.08151640322,0
4179.082738740245,4,2,0,0,1859,268.26787666735856,12,4252.001763632566,0
4127.403935638783,15,0,3,0,2508,830.5046005002617,3,4860.18511305032,0
3454.575259354522,20,4,2,1,459,206.12636942333364,19,8115.868648199653,1
3869.7615212263436,11,4,0,0,2481,263.712796401178,15,509.76968471049713,0
248.4907919233604,22,4,2,0,272,309.180229440224,5,2331.7873560908674,0
3125.212120611461,4,2,3,0,3035,948.8791668292196,15,2989.739274202905,0
1034.5130522141108,0,4,1,0,178,787.5704415293272,6,1177.5042099314953,0
3707.41149069143,21,3,0,0,3137,696.3800398605309,19,2732.9504030242324,0
8286.771636910418,11,0,0,1,1904,439.48294923416347,7,4384.534562399749,1
531.167351460952,0,1,0,1,3036,274.1639910456487,18,4401.909975623055,0
2728.2960951395835,18,1,3,0,2460,537.1215134102856,19,4304.50190330347,0
